method,difficulty,position_rmse,detection_rate,false_positive_rate,track_fragmentation,fps
sparse_pointcloud,clean,44.376039576683084,1.0,0.0,0.0,4.203127336894551
sparse_pointcloud,medium,41.80421204493643,1.0,0.0,0.0,4.057299208066161
sparse_pointcloud,hard,51.093668661205896,1.0,0.0,0.0,4.658700676734391
cluster_filter,clean,45.3272896949733,1.0,0.0,0.0,2.8042215218158453
cluster_filter,medium,33.81661229380115,1.0,0.0,0.0,3.0504300140348715
cluster_filter,hard,62.176175538136256,1.0,0.0,0.0,3.9172258833052056
cl_det,clean,41.77153022306039,1.0,0.0,0.0,3.3384760702483254
cl_det,medium,38.70792548203346,1.0,0.0,0.0,3.225215768950485
cl_det,hard,45.66329737233395,1.0,0.0,0.0,3.623784601518665
