method,ari,nmi,purity,cluster_accuracy,macro_f1,noise_ratio,silhouette
traclus,0.01280122452906911,0.05577588171504989,0.4024024024024024,0.3843843843843844,0.2753252005122329,0.1111111111111111,0.06438311628675995
st_dbscan,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,
vector_field_kmeans,0.3291137759709169,0.5002799749454687,0.8138138138138138,0.5105105105105106,0.46295543198880096,0.0,0.1949193191085969
spatiotemporal_clustering,0.24163741550645695,0.43068381606418055,0.48869565217391303,0.43478260869565216,0.4655616154339174,0.0,0.1075935900373399
